relative_path,filename,task,split,index,tumor_code,tumor_label,plane_code,plane_label,sequence,is_mask,linked_image,width,height,file_size_bytes,sha256
classification_task\test\glioma\brisc2025_test_00001_gl_ax_t1.jpg,brisc2025_test_00001_gl_ax_t1.jpg,classification,test,1,gl,glioma,ax,axial,T1,False,,512,512,25826,b513a83f68e486f45159b004d356782e782840145321511f99dd38399251b6d7
classification_task\test\glioma\brisc2025_test_00002_gl_ax_t1.jpg,brisc2025_test_00002_gl_ax_t1.jpg,classification,test,2,gl,glioma,ax,axial,T1,False,,512,512,20982,5b4e4a0f482cb68955c340205d475f25c3a30718bd3b48925cf8ca8858e3d31e
classification_task\test\glioma\brisc2025_test_00003_gl_ax_t1.jpg,brisc2025_test_00003_gl_ax_t1.jpg,classification,test,3,gl,glioma,ax,axial,T1,False,,512,512,13285,6fd1918b39e7a7f92fa5652d7802583f3251fed50a23ec691b099fea4696e060
classification_task\test\glioma\brisc2025_test_00004_gl_ax_t1.jpg,brisc2025_test_00004_gl_ax_t1.jpg,classification,test,4,gl,glioma,ax,axial,T1,False,,512,512,26137,216b65a45d7effb4ebce1c9893f97d12449c9da777f81859f752513d2a0f9c61
classification_task\test\glioma\brisc2025_test_00005_gl_ax_t1.jpg,brisc2025_test_00005_gl_ax_t1.jpg,classification,test,5,gl,glioma,ax,axial,T1,False,,512,512,21709,c35734545021ab5a4f55fb87e08732e26fb16abe8879271d19dba53a92473006
classification_task\test\glioma\brisc2025_test_00006_gl_ax_t1.jpg,brisc2025_test_00006_gl_ax_t1.jpg,classification,test,6,gl,glioma,ax,axial,T1,False,,512,512,18238,99823a94a0e5771885b4a351f4226646e05ac28dc26c1673d56f698fbecd0dbd
classification_task\test\glioma\brisc2025_test_00007_gl_ax_t1.jpg,brisc2025_test_00007_gl_ax_t1.jpg,classification,test,7,gl,glioma,ax,axial,T1,False,,512,512,22264,c5872b3cf2887adda75e1abf3f144a018b81e7ca082e3af2d2ae950564e574c9
classification_task\test\glioma\brisc2025_test_00008_gl_ax_t1.jpg,brisc2025_test_00008_gl_ax_t1.jpg,classification,test,8,gl,glioma,ax,axial,T1,False,,512,512,20559,0732a1bdd51f692954619b0b9eaaa75e2afde9895d5b78279dd0611796e51498
classification_task\test\glioma\brisc2025_test_00009_gl_ax_t1.jpg,brisc2025_test_00009_gl_ax_t1.jpg,classification,test,9,gl,glioma,ax,axial,T1,False,,512,512,20819,ee07fcfa84fe2e1a6e4cffd174d4c33b72ce830c36839667ca952ca995073745
classification_task\test\glioma\brisc2025_test_00010_gl_ax_t1.jpg,brisc2025_test_00010_gl_ax_t1.jpg,classification,test,10,gl,glioma,ax,axial,T1,False,,512,512,22535,a99b7a1c0a8281a6bc844d3cb7a3581458fb37fd5b7af7279c5e201e89f03c60
classification_task\test\glioma\brisc2025_test_00011_gl_ax_t1.jpg,brisc2025_test_00011_gl_ax_t1.jpg,classification,test,11,gl,glioma,ax,axial,T1,False,,512,512,23629,2582dc2998a76c37ca78d3f82baace12065ffd1fa72c2e4864d756d30bd4eef7
classification_task\test\glioma\brisc2025_test_00012_gl_ax_t1.jpg,brisc2025_test_00012_gl_ax_t1.jpg,classification,test,12,gl,glioma,ax,axial,T1,False,,512,512,17271,008f7fea9cbb6d61aa406db657479bf8437355ffff3b894a807c8d7b81d7e628
classification_task\test\glioma\brisc2025_test_00013_gl_ax_t1.jpg,brisc2025_test_00013_gl_ax_t1.jpg,classification,test,13,gl,glioma,ax,axial,T1,False,,512,512,16385,6864a3e2f7406bdef32f33aecfeeb19b0a5fe0ac92a6f7b09be01c2ddc255278
classification_task\test\glioma\brisc2025_test_00014_gl_ax_t1.jpg,brisc2025_test_00014_gl_ax_t1.jpg,classification,test,14,gl,glioma,ax,axial,T1,False,,512,512,23572,2d33e035b533d94e310dce9c7925ede0fc88b85796079304e3da37a2e9ce0326
classification_task\test\glioma\brisc2025_test_00015_gl_ax_t1.jpg,brisc2025_test_00015_gl_ax_t1.jpg,classification,test,15,gl,glioma,ax,axial,T1,False,,512,512,19139,085a411f8f51f72f45fb4f3452e62a43e31c74bbcfe5404bff529ebfe0218e59
classification_task\test\glioma\brisc2025_test_00016_gl_ax_t1.jpg,brisc2025_test_00016_gl_ax_t1.jpg,classification,test,16,gl,glioma,ax,axial,T1,False,,512,512,16971,8faa1956f6c3e58ca9911d98e453692128bb99c49abb2216ede151e46b1c631b
