width,height,count
174,230,3
180,218,3
187,369,21
200,210,2
200,223,12
200,235,6
200,236,3
200,252,6
201,207,6
201,210,3
201,244,1
201,251,15
202,202,3
202,223,3
202,369,19
204,249,6
205,251,6
206,245,3
206,249,6
208,243,6
209,225,3
209,241,6
210,240,12
210,369,12
211,239,6
212,237,12
212,238,6
213,236,6
213,237,9
214,216,6
214,235,6
215,220,3
215,234,6
216,216,6
216,369,354
217,232,6
217,248,1
219,234,6
221,228,3
224,216,6
224,219,6
224,223,1
225,225,50
226,212,3
226,214,6
226,223,3
228,221,6
229,223,3
229,280,1
230,235,1
230,241,3
230,274,1
232,216,1
232,261,6
233,210,1
233,218,2
233,228,1
233,243,1
234,216,6
236,216,1
236,220,1
236,221,1
236,223,1
236,226,1
236,232,1
236,236,11
236,240,1
236,269,2
236,280,1
236,294,1
237,248,1
238,212,6
239,224,6
239,248,6
250,270,3
251,273,1
252,303,6
253,239,1
254,325,3
255,236,1
256,256,92
257,248,3
257,307,6
257,320,3
262,244,1
262,308,6
264,336,3
272,331,3
273,326,6
278,280,1
278,306,6
286,356,6
289,354,6
290,339,3
290,342,6
291,340,6
295,394,6
298,354,3
300,258,3
300,345,6
300,359,3
300,412,6
304,410,6
305,337,6
306,306,6
306,365,3
312,401,6
313,393,6
314,195,3
314,358,6
315,315,6
315,341,6
318,354,6
323,342,6
329,314,3
330,355,6
338,345,6
341,372,6
341,377,6
341,395,12
343,367,6
351,398,6
352,322,3
360,378,3
366,395,6
367,395,6
369,369,363
369,395,3
369,398,6
374,370,6
374,456,3
400,400,3
402,396,6
411,396,6
416,395,6
420,264,3
440,278,3
441,427,6
442,442,26
450,446,3
455,500,15
456,501,1
469,470,1
470,432,3
472,546,6
474,474,6
480,480,6
485,510,6
491,624,6
497,320,3
500,500,1
502,502,3
503,369,3
504,488,1
507,340,3
507,362,3
507,605,6
512,512,13889
513,522,3
528,528,1
528,581,6
530,526,6
534,674,3
540,568,3
552,527,3
554,554,15
591,650,6
630,423,6
645,439,6
652,600,1
685,681,3
717,717,1
721,903,3
722,690,6
733,781,2
825,993,3
900,741,3
940,900,3
1024,1024,1
1149,1019,3
1275,1427,3
1280,1280,3
1365,1365,3
