image_width,image_height,count
180,218,1
200,223,2
200,235,1
200,252,1
201,207,1
201,210,1
201,251,2
202,202,1
202,223,1
204,249,1
205,251,1
206,249,1
208,243,1
209,225,1
209,241,1
210,240,1
211,239,1
212,237,2
212,238,1
213,236,1
213,237,2
214,216,1
214,235,1
215,234,1
216,216,1
217,232,1
219,234,1
224,216,1
224,219,1
225,225,8
226,212,1
226,214,1
226,223,1
229,223,1
230,241,1
232,261,1
234,216,1
238,212,1
239,224,1
239,248,1
250,270,1
252,303,1
254,325,1
256,256,25
257,307,1
257,320,1
262,308,1
264,336,1
272,331,1
273,326,1
278,306,1
286,356,1
289,354,1
290,342,1
291,340,1
295,394,1
298,354,1
300,345,1
300,359,1
300,412,1
304,410,1
305,337,1
306,306,1
306,365,1
312,401,1
313,393,1
314,358,1
315,315,1
315,341,1
318,354,1
323,342,1
329,314,1
330,355,1
338,345,1
341,372,1
341,377,1
341,395,2
343,367,1
351,398,1
360,378,1
366,395,1
367,395,1
369,398,1
374,370,1
374,456,1
400,400,1
402,396,1
411,396,1
416,395,1
420,264,1
441,427,1
442,442,4
450,446,1
455,500,3
470,432,1
472,546,1
474,474,2
480,480,1
485,510,2
491,624,1
497,320,1
502,502,1
503,369,1
507,340,1
507,362,1
507,605,1
512,512,3766
513,522,1
528,581,1
530,526,1
552,527,1
554,554,2
591,650,1
630,423,1
645,439,1
685,681,1
721,903,1
722,690,1
825,993,1
900,741,1
940,900,1
1275,1427,1
1280,1280,1
1365,1365,1
