image_width,image_height,count
512,512,4504
256,256,30
225,225,15
442,442,8
201,251,5
455,500,5
554,554,5
212,237,4
210,240,4
200,223,4
341,395,4
213,237,3
630,423,2
485,510,2
591,650,2
722,690,2
402,396,2
411,396,2
201,207,2
204,249,2
200,235,2
200,252,2
212,238,2
214,235,2
214,216,2
211,239,2
208,243,2
209,241,2
238,212,2
232,261,2
234,216,2
217,232,2
224,219,2
224,216,2
228,221,2
226,214,2
262,308,2
286,356,2
278,306,2
213,236,2
215,234,2
219,234,2
216,216,2
205,251,2
312,401,2
313,393,2
304,410,2
300,412,2
300,345,2
295,394,2
291,340,2
290,342,2
289,354,2
273,326,2
305,337,2
306,306,2
369,398,2
374,370,2
416,395,2
441,427,2
315,315,2
315,341,2
367,395,2
366,395,2
343,367,2
341,377,2
341,372,2
351,398,2
314,358,2
323,342,2
330,355,2
257,307,2
239,248,2
252,303,2
239,224,2
206,249,2
474,474,2
507,605,2
530,526,2
491,624,2
472,546,2
480,480,2
645,439,2
528,581,2
338,345,2
318,354,2
202,223,1
202,202,1
180,218,1
174,230,1
200,236,1
201,210,1
215,220,1
209,225,1
206,245,1
221,228,1
290,339,1
298,354,1
257,320,1
264,336,1
257,248,1
272,331,1
250,270,1
254,325,1
226,212,1
226,223,1
229,223,1
230,241,1
314,195,1
306,365,1
300,258,1
300,359,1
470,432,1
450,446,1
374,456,1
360,378,1
352,322,1
329,314,1
420,264,1
440,278,1
400,400,1
369,395,1
497,320,1
503,369,1
534,674,1
513,522,1
507,362,1
507,340,1
502,502,1
540,568,1
685,681,1
552,527,1
721,903,1
825,993,1
900,741,1
940,900,1
1149,1019,1
1275,1427,1
1280,1280,1
1365,1365,1
